ID,CaseTitle,InitiationYear,ResolutionYear,RespondentState,ClaimantCountry,ClaimantName,PAULSSON,ArbitrationRules,LegalInstrument,OutcomeStatus,amountSought,amountSought_original,amountAwarded,amountAwarded_original,Arbitrator1,Arbitrator1President,Arbitrator2,Arbitrator2Claimant,Arbitrator3,Arbitrator3Respondent,description,italaw
UNC260,Gustav F W Hamester GmbH & Co KG v. Ghana (ICSID Case No. ARB/07/24),2007,2010,Ghana,Germany,Gustav F W Hamester GmbH & Co KG,Cocoa production enterprise,ICSID,Germany-Ghana BIT,In favour of the State,208943137.4,183000000,Not applicable,,Brigitte STERN,yes,Bernardo M. CREMADES,yes,Toby LANDAU,yes,"Hamester complains that the Ghana Cocoa Board (GCB) refused to supply cocoa at a pre-agreed price to a joint venture between Hamester and GCB. The German firm also complains that its management of the joint venture was affected by actions that can be attributed to the Ghanaian state. Ghana has raised jurisdictional objections to the case, as well as a defence on the merits. Hearings will take place in summer 2009.",
UNC397,ST-AD GmbH v. The Bulgaria (PCA Case No. 2011-06),2010,2013,Bulgaria,Germany,ST-AD GmbH,,UNCITRAL,Bulgaria-Germany BIT,In favour of the State,108566606.7,100000000,Not applicable,,Brigitte STERN,yes,Bohuslav Klein,yes,J. Christopher THOMAS,yes,Expropriation of land and factory,http://www.italaw.com/cases/2447
UNC344,Yury Bogdanov v. Moldova (SCC Case No. V (114/2009)) (III),2009,2010,Moldova,Russia,Yury Bogdanov,paint factory,SCC,Moldova-Russia BIT,In favour of the investor,58484.12,53000,57540.3,53000,Bo Nilsson,,,,,,,http://www.italaw.com/cases/169
UNC060,Nykomb Synergetics Technology Holding AB v. The Latvia,2001,2003,Latvia,Sweden,Nykomb Synergetics Technology Holding AB,Electricity sale agreement,SCC,Energy Charter Treaty,In favour of the investor,,,4079436.4,3170000,Bjørn Haug,,Rolf A. Schütze,,Johan Gernandt,,Electricity sale agreement,
UNC211,"Empresa Electrica del Ecuador, Inc. (EMELEC) v. Ecuador (ICSID Case No. ARB/05/9)",2005,2009,Ecuador,USA,"Empresa Electrica del Ecuador, Inc. (EMELEC)",Electricity enterprise,ICSID,Ecuador-United States BIT,In favour of the State,1333382488,1100000000,Not applicable,,Bernardo SEPÚLVEDA AMOR,yes,John H. ROONEY,yes,W. Michael REISMAN,yes,"A private electrical utility, EMELEC alleges that the Ecuadorian military seized its electricity-generating facilities in Guayaqil in March 2000, after its former owner, Ecuadorian businessman Fernando Aspiazu, was charged with banking irregularities. Ecuador prevailed in 2009 when arbitrators held that the claimant could not prove that they were owned by USA business interests, thus precluding jurisdiction under the USA–Ecuador BIT",
UNC493,"Tenoch Holdings Limited, Mr. Maxim Naumchenko and Mr. Andrey Poluektov v. The India (PCA Case No. 2013-23)",2012,,India,Russia/Cyprus,"Tenoch Holdings Limited, Mr. Maxim Naumchenko and Mr. Andrey Poluektov",telecom,UNCITRAL,India-Russia BIT; Cyprus-India BIT,Pending,309332125.4,300000000,Not applicable,,Bernardo SEPÚLVEDA AMOR,yes,Charles N. BROWER,yes,Brigitte STERN,yes,,http://www.italaw.com/cases/1933
UNC503,Grupo Francisco Hernando Contreras v. Equatorial Guinea (ICSID Case No. ARB(AF)/12/2),2012,,Equatorial Guinea,Spain,Grupo Francisco Hernando Contreras,Construction of housing and sports facilities,ICSID AF,Equatorial Guinea-Spain BIT,Pending,,,Not applicable,,Bernardo SEPÚLVEDA AMOR,yes,Francisco ORREGO VICUÑA,yes,Raúl E. VINUESA,yes,,
UNC168,"Archer Daniels Midland and Tate & Lyle Ingredients Americas, Inc. v. United Mexican States (ICSID Case No. ARB(AF)/04/5)",2004,2007,Mexico,USA,"Archer Daniels Midland and Tate & Lyle Ingredients Americas, Inc.",Soft drink sweetener production enterprise,ICSID AF,NAFTA,In favour of the investor,281977766,225000000,38260675.13,33510091,Bernardo M. CREMADES,yes,Arthur W. ROVINE,yes,Eduardo SIQUEIROS T,yes,"One of three NAFTA arbitrations spawned by a controversial 20 percent Mexican tax on soft drink bottlers who use sweeteners other than cane sugar. CPI complained that the tax walloped the company’s high fructose corn syrup plant in Mexico. The tax at issue has been found in a WTO proceeding to violate international trade rules. In November 2007, arbitrators ruled that the tax breached investor protections contained in NAFTA Chapter 11. ADM was awarded $33.5 million.",
UNC416,Mr. Franck Charles Arif v. Moldova (ICSID Case No. ARB/11/23),2011,2013,Moldova,France,Mr. Franck Charles Arif,Duty free concessions,ICSID,France-Moldova BIT,In favour of the investor,,,2825096.82,2780000,Bernardo M. CREMADES,yes,Bernard HANOTIAU,yes,Rolf KNIEPER,yes,,
UNC014,Lanco International Inc. v. Argentine Republic (ICSID Case No. ARB/97/6),1997,2000,Argentina,USA,Lanco International Inc.,Port terminal concession agreement,ICSID,Argentina-United States BIT,Settled,,,unknown,,Bernardo M. CREMADES,yes,Guillermo AGUILAR-ALVAREZ,yes,Luiz Olavo BAPTISTA,yes,,
UNC054,Waste Management v. United Mexican States (ICSID Case No. ARB(AF)/00/3) (II),2000,2000,Mexico,USA,Waste Management,Waste disposal enterprise,ICSID AF,NAFTA,In favour of the State,,,Not applicable,,Bernardo M. CREMADES,yes,Keith HIGHET,yes,Eduardo SIQUEIROS T,yes,,
UNC335,"H&H Enterprises Investments, Inc. v. Arab Egypt (ICSID Case No. ARB/09/15)",2009,2014,Egypt,USA,"H&H Enterprises Investments, Inc.",Resort management and operation,ICSID,United States-Egypt BIT,In favour of the State,220694798.6,200000000,Not applicable,,Bernardo M. CREMADES,yes,Hamid G. GHARAVI,yes,Veijo HEISKANEN,yes,"H&H, a United States tourism services company, alleges that Egypt has breached protections contained in the USA–Egypt bilateral investment treaty. Little information had emerged at press time; however, a notice of dispute was filed in August 2008 and the claimant has pledged to pursue ICSID arbitration imminently.",
UNC387,Pan American Energy LLC v. Plurinational State of Bolivia (ICSID Case No. ARB/10/8),2010,2015,Bolivia,USA,Pan American Energy LLC,Exploration and exploitation of hydrocarbons,ICSID,Bolivia-United States BIT,Settled,1085666067,1000000000,unknown,,Bernardo M. CREMADES,yes,Francisco ORREGO VICUÑA,yes,Rodrigo OREAMUNO,yes,"Pan American opted for arbitration under the USA–Bolivia BIT after Bolivia nationalized a 51 percent stake in Pan American subsidiary Empresa Petrolera Chaco SA, a hydrocarbon exploration and production company. Pan American insists that Bolivia’s compensation offer does not reflect the full-market value of the assets, which Bolivia contests",
UNC544,Ossama Al Sharif v. Arab Egypt (ICSID Case No. ARB/13/5) (III),2013,2015,Egypt,Jordan,Ossama Al Sharif,Customs system project,ICSID,Egypt-Jordan BIT,Discontinued (for unknown reasons or reasons other than settlement),,,Not applicable,,Bernardo M. CREMADES,yes,Daniel M. PRICE,yes,Brigitte STERN,yes,,
UNC429,Hesham Talaat M. Al-Warraq v. The Indonesia,2011,2014,Indonesia,Saudi Arabia,Hesham Talaat M. Al-Warraq,banking,UNCITRAL,Organization of Islamic Cooperation Investment Agreement,Neither the investor nor the State (liability found but no damages awarded),105244533,100000000,nihil,nihil,Bernardo M. CREMADES,yes,Michael HWANG,yes,Fali Nariman,yes,,http://www.italaw.com/cases/1527
UNC215,Limited Liability Company Amto v. Ukraine (SCC Case No. 080/2005),2005,2008,Ukraine,Latvia,Limited Liability Company Amto,power generation,SCC,Energy Charter Treaty,In favour of the State,22259002.4,18363000,Not applicable,,Bernardo M. CREMADES,,Per Runeland,yes,Christer Soderlund,yes,Nuclear power plant (dispute arising out of the bankruptcy of a nuclear power plant and default under contracts to provide services in relation to high voltage electrical equipment used in Zaporizhya power plant in Ukraine),http://www.italaw.com/cases/79
UNC462,Orascom Telelcom Holding v. Algeria,2012,,Algeria,Egypt,Orascom Telelcom Holding,telecom,UNCITRAL,Algeria-Egypt BIT,Settled,,,unknown,,Bernardo M. CREMADES,yes,L. Yves FORTIER,yes,Pierre-Marie DUPUY,yes,,http://www.italaw.com/cases/2038
UNC203,Biwater Gauff (Tanzania) Limited v. United Tanzania (ICSID Case No. ARB/05/22),2005,2008,Tanzania,United Kingdom,Biwater Gauff (Tanzania) Limited,Water and sewer services concession agreement,ICSID,Tanzania-United Kingdom BIT,Neither the investor nor the State (liability found but no damages awarded),,,nihil,nihil,Bernard HANOTIAU,yes,Gary B. BORN,yes,Toby LANDAU,yes,,
UNC186,Rumeli Telekom A.S. and Telsim Mobil Telekomunikasyon Hizmetleri A.S. v. Kazakhstan (ICSID Case No. ARB/05/16),2005,2008,Kazakhstan,Turkey,Rumeli Telekom A.S. and Telsim Mobil Telekomunikasyon Hizmetleri A.S.,Telecommunications enterprise,ICSID,Kazakhstan-Turkey BIT,In favour of the investor,555171981.6,458000000,181425433,165000000,Bernard HANOTIAU,yes,Stewart BOYD,yes,Marc LALONDE,yes,"A pair of Turkish telecoms firms secured a large award against Kazakhstan, after an ICSID panel ruled that Kazakhstan had expropriated their stake in the local Kazakh telecoms venture KaR-Tel. Kazakhstan had protested that the claimants were essentially arms of the Turkish state after they had been taken over in a crackdown on the former owners, members of the controversial Uzan business empire. However, arbitrators upheld jurisdiction over the claim despite the evolving ownership of Telsim and Rumeli. The case is currently under annulment, a limited review process provided under ICSID rules in lieu of challenges in domestic courts.",
UNC338,Deutsche Bank AG v. Democratic Socialist Sri Lanka (ICSID Case No. ARB/09/2),2009,2012,Sri Lanka,Germany,Deutsche Bank AG,Hedging agreement,ICSID,Germany-Sri Lanka BIT,In favour of the investor,,,72177495.93,70000000,Bernard HANOTIAU,yes,Makhdoom Ali KHAN,yes,David A.R. WILLIAMS,yes,,
UNC234,Spyridon Roussalis v. Romania (ICSID Case No. ARB/06/1),2006,2011,Romania,Greece,Spyridon Roussalis,Food trading company,ICSID,Greece-Romania BIT,In favour of the State,211371428.6,180000000,Not applicable,,Bernard HANOTIAU,yes,Andrea GIARDINA,yes,W. Michael REISMAN,yes,,
UNC404,Murphy Exploration & Production Company – International v. The Ecuador (PCA Case No. AA434) (II),2011,,Ecuador,USA,Murphy Exploration & Production Company – International,oil and gas,UNCITRAL,Ecuador-United States BIT,Pending,unknown,,Not applicable,,Bernard HANOTIAU,yes,Kaj Hober,yes,Georges ABI-SAAB,yes,,http://www.italaw.com/cases/1198
UNC523,"Marfin Investment Group Holdings S.A., Alexandros Bakatselos and others v. Cyprus (ICSID Case No. ARB/13/27)",2013,,Cyprus,Greece,"Marfin Investment Group Holdings S.A., Alexandros Bakatselos and others",Banking enterprise,ICSID,Cyprus-Greece BIT,Pending,,,Not applicable,,Bernard HANOTIAU,yes,Daniel M. PRICE,yes,David A.O. EDWARD,yes,Dispute in connection with the Government’s effective takeover of the Cyprus Popular Bank.,
UNC599,CEAC Holdings Limited v. Montenegro (ICSID Case No. ARB/14/8),2014,,Montenegro,Cyprus,CEAC Holdings Limited,Aluminum production enterprise,ICSID,Cyprus-Montenegro BIT,Pending,550000000,550000000,Not applicable,,Bernard HANOTIAU,yes,William W. PARK,yes,Brigitte STERN,yes,,
UNC163,France Telecom S.A. v. Argentine Republic (ICSID Case No. ARB/04/18),2004,2006,Argentina,France,France Telecom S.A.,Telecommunications concession,ICSID,Argentina-France BIT,Settled,3634380095,2900000000,312360000,266000000,Bernard Audit,yes,Marc LALONDE,,Antoine Akl,,A BIT dispute arising out of France Telecom’s contract to build and operate a Lebanese mobile phone network.,
UNC319,HICEE B.V. v. The Slovak Republic (PCA Case No. 2009-11),2008,2011,Slovakia,Netherlands,HICEE B.V.,Health insurance provider,UNCITRAL,Netherlands-Slovak Republic BIT,In favour of the State,1526172733,1388000000,Not applicable,,"Berman, F.",yes,Charles N. BROWER,yes,Peter TOMKA,yes,Claims arising out of the alleged reversal of a series of health care reforms initiated by a previous administration (including the requirement that insurance must be provided on a not-for-profit basis),http://www.italaw.com/cases/534
UNC156,Vladimir Berschader and Michael Berschader v. Russia (SCC Case No. 080/2004),2004,2006,Russia,Belgium,Vladimir Berschader and Michael Berschader,construction project,SCC,Belgium and Luxembourg-USSR BIT,In favour of the State,,,Not applicable,,Bengt Sjövall,yes,Todd Weiler,yes,Sergei Lebedev,yes,,http://www.italaw.com/cases/140
UNC473,Yuri Bogdanov and Yulia Bogdanova v. Moldova (SCC Case No. V091/2012) (IV),2012,2013,Moldova,Russia,Yuri Bogdanov and Yulia Bogdanova,paint factory,SCC,Moldova-Russia BIT,In favour of the State,77333.03,75000,Not applicable,,Bengt Sjövall,,,,,,,http://www.italaw.com/cases/2634
UNC201,Mytilineos Holdings SA v. The State Union of Serbia & Montenegro and Serbia (I),2005,2009,Serbia,Greece,Mytilineos Holdings SA,mineral extraction,UNCITRAL,Greece-Yugoslavia BIT,In favour of the State,unknown,,unknown,,August REINISCH,yes,Stelios Koussoulis,yes,Dobrosav Mitrović,yes,,http://www.italaw.com/cases/725
UNC547,"Spentex Netherlands, B.V. v. Uzbekistan (ICSID Case No. ARB/13/26)",2013,,Uzbekistan,Netherlands,"Spentex Netherlands, B.V.",Textile manufacturing activities,ICSID,Netherlands-Uzbekistan BIT,Pending,,,Not applicable,,August REINISCH,yes,Stanimir A. ALEXANDROV,yes,Brigitte STERN,yes,,
UNC253,TS Investment Corp v. Armenia,2007,2011,Armenia,USA,TS Investment Corp,,LCIA,United States-Armenia BIT,In favour of the State,114176577.8,100000000,Not applicable,,Audley Sheppard,,Zachary DOUGLAS,,Rolf KNIEPER,,"A USA firm alleges that Armenia has harmed its investments in a tire factory, contrary to protections owed under the USA–Armenia BIT. Details of the case are scarce as it is being arbitrated at the more opaque London Court of International Arbitration facility.",http://www.italaw.com/cases/1122
UNC461,Accession Mezzanine Capital L.P. and Danubius Kereskedöház Vagyonkezelö Zrt. v. Hungary (ICSID Case No. ARB/12/3),2012,2015,Hungary,United Kingdom,Accession Mezzanine Capital L.P. and Danubius Kereskedöház Vagyonkezelö Zrt.,Radio broadcasting enterprises,ICSID,Hungary-United Kingdom BIT,In favour of the State,unknown,,Not applicable,,Arthur W. ROVINE,yes,Marc LALONDE,yes,Zachary DOUGLAS,yes,Alleged unlawful expropriation/nationalization without compensation and without complying with other standards of treatment of Claimants’ investments related to Danubius Radio resulting from Respondent’s decision to conduct a tender procedure.,
UNC299,Alps Finance and Trade AG v. The Slovak Republic,2008,,Slovakia,Switzerland,Alps Finance and Trade AG,Bankruptcy proceedings,UNCITRAL,Switzerland-Slovakia BIT,In favour of the State,,,Not applicable,,Antonio Crivellaro,yes,Bohuslav Klein,yes,Hans Stuber,yes,"The Alps Finance claim was born out of an agreement with a Slovak company, in which the claimant purchased credit owed by a bankrupt debtor. Efforts to enforce the credits were blocked by a Slovakian regional court, in what the claimant argued was a flawed decision.  Alps Finance held the Slovakian government responsible for the alleged incompetence of the regional court.",
UNC024,"Loewen Group, Inc. and Raymond L. Loewen v. USA (ICSID Case No. ARB(AF)/98/3)",1998,2003,USA,Canada,"Loewen Group, Inc. and Raymond L. Loewen",Funeral home and insurance enterprises,ICSID AF,NAFTA,In favour of the State,,,Not applicable,,Anthony MASON,yes,Abner J. MIKVA,yes,Michael MUSTILL,yes,"Claimants, a Canadian funeral home chain and its founder, wish to be compensated by the U.S. for the consequences of a runaway Mississippi jury verdict, in a case arising out of a small dispute with a local funeral home.",
UNC505,Ilya Levitis v. Kyrgyzstan,2012,2013,Kyrgyzstan,USA,Ilya Levitis,banking,UNCITRAL,Kyrgyzstan-US BIT,Discontinued (for unknown reasons or reasons other than settlement),unknown,,unknown,,Andrew Newcombe,yes,Richard DeWitt,yes,Samuel Wordsworth,yes,,http://www.italaw.com/cases/1904
UNC077,Siemens A.G. v. The Argentine Republic (ICSID Case No. ARB/02/8),2002,2007,Argentina,Germany,Siemens A.G.,Informatic services contract,ICSID,Argentina-Germany BIT,In favour of the investor,286904869.9,218000000,317410886.4,278000000,Andrés RIGO SUREDA,yes,Charles N. BROWER,yes,Domingo BELLO JANEIRO,yes,"Corruption scandal could lead to claw-back of ICSID award. Argentina has asked an ICSID panel to revisit its February 2007 award in favour of Siemens, following revelations of widespread corruption in the German firm’s international business activities. ICSID arbitrators had earlier awarded Siemens approximately $218 million damages plus interest, after holding that Argentina wrongfully terminated Siemen’s contract to create information systems for Argentine elections, personal identification, and immigration.",
UNC061,Azurix Corp. v. The Argentine Republic (ICSID Case No. ARB/01/12) (I),2001,2006,Argentina,USA,Azurix Corp.,Water and sewer services concession agreement,ICSID,Argentina-United States BIT,In favour of the investor,247296216.8,185000000,218417142.9,186000000,Andrés RIGO SUREDA,yes,Marc LALONDE,yes,Daniel H. MARTINS,yes,"Water dispute leaves Azurix’s coffers flush. Annulment proceedings continue in an ICSID claim pitting the USA water services company, Azurix, against the Argentina. Arbitrators ruled in 2006 that Argentina had interfered with and ultimately terminated claimant’s 30-year concession, contrary to protections owed under the USA–Argentina bilateral investment treaty. With damages of $165 million (preinterest) ordered to Azurix, the award is one of the largest to come out of ICSID.",
UNC107,National Grid PLC v. The Argentine Republic,2003,,Argentina,United Kingdom,National Grid PLC,electricity enterprise,UNCITRAL,Argentina-United Kingdom BIT,In favour of the investor,,,69491976.52,54000000,Andrés RIGO SUREDA,,Alejandro Miguel Garro,,Judd L Kessler,,,
UNC248,Railroad Development Corporation (RDC) v. Guatemala (ICSID Case No. ARB/07/23),2007,2012,Guatemala,USA,Railroad Development Corporation (RDC),Railroad concession contract,ICSID,CAFTA,In favour of the investor,,,11342177.93,11000000,Andrés RIGO SUREDA,yes,Stuart E. EIZENSTAT,yes,James R. CRAWFORD,yes,,
UNC066,MTD Equity Sdn. Bhd. and MTD Chile S.A. v. Chile (ICSID Case No. ARB/01/7),2001,2004,Chile,Malaysia,MTD Equity Sdn. Bhd. and MTD Chile S.A.,Construction of residential and commercial complex,ICSID,Chile-Malaysia BIT,In favour of the investor,,,9236338.38,7370000,Andrés RIGO SUREDA,yes,Marc LALONDE,yes,Rodrigo OREAMUNO,yes,,
UNC491,Sanum Investments v. Lao People’s Democratic Republic (PCA Case No. 2013-13),2012,2014,Lao PDR,Macao,Sanum Investments,casino,UNCITRAL,China-Laos BIT,Settled,242310164.9,235000000,unknown,,Andrés RIGO SUREDA,yes,Bernard HANOTIAU,,Brigitte STERN,,,http://www.italaw.com/cases/2050
UNC496,MNSS B.V. and Recupero Credito Acciaio N.V v. Montenegro (ICSID Case No. ARB(AF)/12/8),2012,,Montenegro,Netherlands,MNSS B.V. and Recupero Credito Acciaio N.V,Steel production,ICSID AF,Netherlands-Yugoslavia BIT,Pending,95892958.88,93000000,Not applicable,,Andrés RIGO SUREDA,yes,Emmanuel GAILLARD,yes,Brigitte STERN,yes,,http://www.italaw.com/cases/2028
UNC536,"KBR, Inc. v. United Mexican States (ICSID Case. No. UNCT/14/1)",2013,,Mexico,USA,"KBR, Inc.",oil,UNCITRAL,NAFTA,Pending,111784406.6,110000000,Not applicable,,Andrés RIGO SUREDA,yes,Gerardo Lozano Alarcón,,Gabrielle KAUFMANN-KOHLER,,,http://www.italaw.com/cases/2693
UNC539,"Transglobal Green Energy, LLC and Transglobal Green Panama, S.A. v. Panama (ICSID Case No. ARB/13/28)",2013,,Panama,USA,"Transglobal Green Energy, LLC and Transglobal Green Panama, S.A.","Electricity, gas, steam and air production",ICSID,Panama-United States BIT,Pending,,,Not applicable,,Andrés RIGO SUREDA,yes,Christoph H. SCHREUER,yes,Jan PAULSSON,yes,,
UNC118,"Gas Natural SDG, S.A. v. Argentine Republic (ICSID Case No. ARB/03/10)",2003,,Argentina,Spain,"Gas Natural SDG, S.A.",Gas supply and distribution enterprise,ICSID,Argentina-Spain BIT,Pending,257377690.8,200000000,Not applicable,,Andreas F. LOWENFELD,yes,Henri C. ÁLVAREZ,yes,Pedro NIKKEN,yes,"A Spanish-language arbitration under the Spain–Argentina BIT, arising out of the emergency regulatory measures imposed by Argentina in 2002 on the gas industry. The panel affirmed jurisdiction in June 2005. Following repeated requests by the parties, the proceedings have been suspended since late 2005, so that a settlement can be sought.",
UNC030,Patrick Mitchell v. Democratic the Congo (ICSID Case No. ARB/99/7),1999,2004,DR Congo,USA,Patrick Mitchell,Law firm,ICSID,"Congo, Democratic Republic of-United States BIT",In favour of the investor,,,1366025.62,1090000,Andreas BUCHER,yes,Yawovi AGBOYIBO,yes,Marc LALONDE,yes,,
UNC264,"Urbaser S.A. and Consorcio de Aguas Bilbao Biskaia, Bilbao Biskaia Ur Partzuergoa v. Argentine Republic (ICSID Case No. ARB/07/26)",2007,,Argentina,Spain,"Urbaser S.A. and Consorcio de Aguas Bilbao Biskaia, Bilbao Biskaia Ur Partzuergoa",Water services concession,ICSID,Argentina-Spain BIT,Pending,1141765778,1000000000,Not applicable,,Andreas BUCHER,yes,Campbell Alan McLACHLAN,yes,Pedro J. MARTÍNEZ-FRAGA,yes,Spanish water utilities are suing under the Spain-Argentina BIT over the treatment of their Buenos Aires concession during the peso crisis of 2001-02. In December 2012 the arbitrators asserted jurisdiction.,
UNC376,AbitibiBowater Inc. v. Government of Canada (ICSID Case No. UNCT/10/1),2010,2010,Canada,USA,AbitibiBowater Inc.,Manufacturing and trading enterprise,UNCITRAL,NAFTA,Settled,542833033.7,500000000,unknown,,Andreas BUCHER,yes,Doak BISHOP,yes,Gavan GRIFFITH,yes,,
UNC036,"Swembalt AB, Sweden v. The Latvia",1999,2000,Latvia,Sweden,"Swembalt AB, Sweden",scrapping of a foreign-owned ship,UNCITRAL,Latvia-Sweden BIT,In favour of the investor,,,3794374.91,2760000,Allan PHILIP,,Kaj Hober,,Gustaf Moller,,"SwemBalt claimed compensation for loss of a vessel SJFW/SwedeBalt, which was registered in Sweden and was leased to SwemBalt's subsidiary SwedeBalt SIA. The vessel was moored in the Port of Riga with the permission of the relevant Latvian authorities and in accordance with a land lease agreement with the Kurzeme district of Riga. ",
UNC067,AES Summit Generation Limited v. Hungary (ICSID Case No. ARB/01/4) (I),2001,2002,Hungary,United Kingdom,AES Summit Generation Limited,Power purchase and sale agreement,ICSID,Energy Charter Treaty; Hungary-United Kingdom BIT,Settled,not quantified,,unknown,,Allan PHILIP,yes,Francisco ORREGO VICUÑA,yes,Prosper WEIL,yes,,
UNC353,"Abengoa, S.A. y COFIDES, S.A. v. United Mexican States (ICSID Case No. ARB(AF)/09/2)",2009,2013,Mexico,Spain,"Abengoa, S.A. y COFIDES, S.A.",Waste disposal enterprise,ICSID AF,Mexico-Spain BIT,In favour of the investor,,,42681318.87,42000000,Alexis MOURRE,yes,Juan FERNÁNDEZ-ARMESTO,yes,Eduardo SIQUEIROS T,yes,,
UNC402,"TECO Guatemala Holdings, LLC v. Guatemala (ICSID Case No. ARB/10/23)",2010,2013,Guatemala,USA,"TECO Guatemala Holdings, LLC",Electricity distribution concession,ICSID,CAFTA,In favour of the investor,309414829.2,285000000,23373103.19,23000000,Alexis MOURRE,yes,William W. PARK,yes,Claus VON WOBESER,yes,,
UNC244,"Nations Energy, Inc. and others v. Panama (ICSID Case No. ARB/06/19)",2006,2010,Panama,USA,"Nations Energy, Inc. and others",Electricity power generation project,ICSID,Panama-United States BIT,In favour of the State,,,Not applicable,,Alexis MOURRE,yes,José María CHILLÓN MEDINA,yes,Claus VON WOBESER,yes,,
UNC504,Charanne B.V. and Construction Investments S.a.r.l. v. Spain,2012,,Spain,Luxembourg/Netherlands,Charanne B.V. and Construction Investments S.a.r.l.,energy construction,SCC,Energy Charter Treaty,Pending,unknown,,Not applicable,,Alexis MOURRE,yes,Guido Santiago TAWIL,yes,Claus VON WOBESER,yes,Claim arising in response to reform of renewable energy policy,http://www.italaw.com/cases/2082
UNC519,Erhas and others v. Turkmenistan,2013,,Turkmenistan,Turkey,Erhas and others,,UNCITRAL,Turkey-Turkmenistan BIT,Pending,unknown,,Not applicable,,Alexis MOURRE,yes,Stanimir A. ALEXANDROV,yes,Zachary DOUGLAS,yes,,http://www.italaw.com/cases/2360
UNC528,Cervin Investissements S.A. and Rhone Investissements S.A. v. Costa Rica (ICSID Case No. ARB/13/2),2013,,Costa Rica,Switzerland,Cervin Investissements S.A. and Rhone Investissements S.A.,Gas distribution enterprise,ICSID,Costa Rica-Switzerland BIT,Pending,,,Not applicable,,Alexis MOURRE,yes,Ricardo RAMÍREZ HERNÁNDEZ,yes,Andrés JANA LINETZKY,yes,,
UNC303,Quadrant Pacific Growth Fund L.P. and Canasco Holdings Inc. v. Costa Rica (ICSID Case No. ARB(AF)/08/1),2008,2010,Costa Rica,Canada,Quadrant Pacific Growth Fund L.P. and Canasco Holdings Inc.,Agricultural enterprises,ICSID,Canada-Costa Rica BIT,Discontinued (for unknown reasons or reasons other than settlement),unknown,,Not applicable,,Alejandro Garro,yes,Andreas Lowenfeld,yes,Bernardo M. CREMADES,yes,,http://www.italaw.com/cases/883
UNC385,British Caribbean Bank Ltd. v. The Government of Belize (PCA Case No. 2010-18),2010,2014,Belize,United Kingdom,British Caribbean Bank Ltd.,media,UNCITRAL,Belize-United Kingdom BIT,In favour of the investor,48963539.64,45100000,41700000,41700000,Albert Jan VAN DEN BERG,yes,John Beechey,yes,Rodrigo OREAMUNO,yes,,http://www.italaw.com/cases/177
UNC082,Canfor Corporation v. USA,2002,2007,USA,Canada,Canfor Corporation,forest,UNCITRAL,NAFTA,Settled,unknown,,unknown,,Albert Jan VAN DEN BERG,yes,Armand DE MESTRAL,yes,Davis Robinson,yes,,http://www.italaw.com/cases/200
UNC092,International Thunderbird Gaming Corporation v. The United Mexican States,2002,2006,Mexico,Canada,International Thunderbird Gaming Corporation,Gaming industry,UNCITRAL,NAFTA,In favour of the State,unknown,,Not applicable,,Albert Jan VAN DEN BERG,yes,Thomas Wälde,yes,Agustín Portal Ariosa,yes,,http://www.italaw.com/cases/571
UNC095,Fireman's Fund Insurance Company v. The United Mexican States (ICSID Case No. ARB(AF)/02/1),2002,2006,Mexico,USA,Fireman's Fund Insurance Company,Debt instruments,ICSID AF,NAFTA,In favour of the State,,,Not applicable,,Albert Jan VAN DEN BERG,yes,Andreas F. LOWENFELD,yes,Alberto Guillermo SAAVEDRA OLAVARRIETA,yes,,
UNC114,Telekom Malaysia Berhad v. The Ghana,2003,2004,Ghana,Malaysia,Telekom Malaysia Berhad,telecom,UNCITRAL,Ghana-Malaysia BIT,Settled,223918591,174000000,unknown,,Albert Jan VAN DEN BERG,yes,Emmanuel GAILLARD,yes,Robert Layton,yes,"Telekom Malaysia complains, under the Ghana-Malaysia BIT, that inequitable regulatory actions have stripped it of control in Ghana’s national telecommunications company.",http://www.italaw.com/cases/1091
UNC314,GEA Group Aktiengesellschaft v. Ukraine (ICSID Case No. ARB/08/16),2008,2011,Ukraine,Germany,GEA Group Aktiengesellschaft,Petrochemical industry,ICSID,Germany-Ukraine BIT,In favour of the State,,,Not applicable,,Albert Jan VAN DEN BERG,yes,Toby LANDAU,yes,Brigitte STERN,yes,,
UNC347,Dunkeld International Investment Limited v. The Government of Belize (PCA Case No. 2010-13) (I),2009,,Belize,United Kingdom,Dunkeld International Investment Limited,media,UNCITRAL,Belize-United Kingdom BIT,Pending,,,Not applicable,,Albert Jan VAN DEN BERG,,,,,,,http://www.italaw.com/cases/361
UNC360,"Commerce Group Corp. and San Sebastian Gold Mines, Inc. v. El Salvador (ICSID Case No. ARB/09/17)",2009,2011,El Salvador,USA,"Commerce Group Corp. and San Sebastian Gold Mines, Inc.",Mining concession,ICSID,CAFTA,In favour of the State,,,Not applicable,,Albert Jan VAN DEN BERG,yes,Horacio A. GRIGERA NAÓN,yes,J. Christopher THOMAS,yes,,
UNC386,Dunkeld International Investment Limited v. The Government of Belize (PCA Case No. 2010-21) (II),2010,,Belize,United Kingdom,Dunkeld International Investment Limited,,UNCITRAL,Belize-United Kingdom BIT,Pending,unknown,,Not applicable,,Albert Jan VAN DEN BERG,yes,John Beechey,yes,Rodrigo OREAMUNO,yes,,http://www.italaw.com/cases/362
